,Product Brand,Product Name,Current Price,Old Price,Rating,Product URL
75, I.N.C. International Concepts,"Women's Interlocking Hook Stretch Belt, Created for Macy's",Sale  EUR 24.18,EUR 48.37,5,https://www.macys.com/shop/product/i.n.c.-international-concepts-womens-interlocking-hook-stretch-belt-created-for-macys?ID=17325100
76, Isotoner Signature,Nordic Fair Isle Water Repellent Knit Mittens,Sale  EUR 21.94,EUR 43.88,4.2727,https://www.macys.com/shop/product/isotoner-signature-nordic-fair-isle-water-repellent-knit-mittens?ID=18765335
77, Style & Co,Basic Straw Panama Hat,Now  EUR 15.29,EUR 38.40,4.55,https://www.macys.com/shop/product/style-co-basic-straw-panama-hat?ID=17262203
78, KARL LAGERFELD PARIS,Women's Charm Baseball Hat, EUR 57.84,None,5,https://www.macys.com/shop/product/karl-lagerfeld-paris-womens-charm-baseball-hat?ID=17625882
79, I.N.C. International Concepts,"Ranndi Mini Ombre Clutch Crossbody, Created for Macy's ",Sale  EUR 29.77,EUR 99.23,3.6667,https://www.macys.com/shop/product/i.n.c.-international-concepts-ranndi-mini-ombre-clutch-crossbody-created-for-macys?ID=17753716
80, Cole Haan,Lattice Cuff Beanie,Now  EUR 43.38,EUR 57.84,5,https://www.macys.com/shop/product/cole-haan-lattice-cuff-beanie?ID=18635959
81, I.N.C. International Concepts,"Women's Tropical-Print Bandana Square, Created for Macy's",Now  EUR 12.89,EUR 32.41,5,https://www.macys.com/shop/product/i.n.c.-international-concepts-womens-tropical-print-bandana-square-created-for-macys?ID=17261879
82, FRAAS,Women's Twill Check Cowlneck Poncho,Sale  EUR 39.14,EUR 78.29,None,https://www.macys.com/shop/product/fraas-womens-twill-check-cowlneck-poncho?ID=18641559
83, Style & Co,"Women's Solid Basket Weave Soft Topper, Created for Macy's",Sale  EUR 17.35,EUR 57.84,5,https://www.macys.com/shop/product/style-co-womens-solid-basket-weave-soft-topper-created-for-macys?ID=18678128
84, Natori,Women's Faux-Fur Open-Front Topper Jacket,Now  EUR 79.77,EUR 139.62,4,https://www.macys.com/shop/product/natori-womens-faux-fur-open-front-topper-jacket?ID=19739920
85, Patricia Nash,Vintage Print Scarf, EUR 37.90,None,4.8956,https://www.macys.com/shop/product/patricia-nash-vintage-print-scarf?ID=19179003
86, Sunday Afternoons,Wool Felt Tessa Hat, EUR 94.24  -,None,4.5,https://www.macys.com/shop/product/sunday-afternoons-wool-felt-tessa-hat?ID=10042191
87, kate spade new york,NEW! Women's Houndstooth Tweed Bucket Hat, EUR 87.76,None,1,https://www.macys.com/shop/product/kate-spade-new-york-womens-houndstooth-tweed-bucket-hat?ID=19767723
88, JM Collection,"Women's Colorblocked Square Poncho Sweater, Created for Macy's ",Now  EUR 19.94,EUR 59.34,4.6667,https://www.macys.com/shop/product/jm-collection-womens-colorblocked-square-poncho-sweater-created-for-macys?ID=17908520
89, Steve Madden,Women's Chunky Knit Beret,Now  EUR 17.95,EUR 35.90,4.0952,https://www.macys.com/shop/product/steve-madden-womens-chunky-knit-beret?ID=16316659
90, Cole Haan,Women's Reversible Fair Isle Cuffed Beanie,Now  EUR 43.38,EUR 57.84,5,https://www.macys.com/shop/product/cole-haan-womens-reversible-fair-isle-cuffed-beanie?ID=18635964
91, FRAAS,Women's Leopard-Print Fringe-Trim Scarf,Sale  EUR 28.92,EUR 57.84,5,https://www.macys.com/shop/product/fraas-womens-leopard-print-fringe-trim-scarf?ID=18665826
92, Style & Co,"Shine Cable Knit Tech Gloves, Created for Macy's",Sale  EUR 5.98,EUR 19.95,3.963,https://www.macys.com/shop/product/style-co-shine-cable-knit-tech-gloves-created-for-macys?ID=18678123
93, kate spade new york,kate sapde new york Spade Cuff Beanie, EUR 57.84,None,5,https://www.macys.com/shop/product/kate-sapde-new-york-spade-cuff-beanie?ID=18867546
94, Sam Edelman,NEW! Ethyl 3-Piece Travel Pouch Set, EUR 64.82,None,5,https://www.macys.com/shop/product/sam-edelman-ethyl-3-piece-travel-pouch-set?ID=19227659
95, I.N.C. International Concepts,"Women's Felt Panama Hat, Created for Macy's",Now  EUR 24.18,EUR 48.37,4.5714,https://www.macys.com/shop/product/i.n.c.-international-concepts-womens-felt-panama-hat-created-for-macys?ID=18744270
96, Charter Club,"Cashmere Sleep Mask + Socks Boxed Gift Set, Created for Macy's",Sale  EUR 43.68,EUR 109.20,5,https://www.macys.com/shop/product/charter-club-cashmere-sleep-mask-socks-boxed-gift-set-created-for-macys?ID=18135196
97, Charter Club,"Cashmere Hat, Gloves & Scarf Boxed Gift Set, Created for Macy's",Sale  EUR 99.13,EUR 247.83,3.6571,https://www.macys.com/shop/product/charter-club-cashmere-hat-gloves-scarf-boxed-gift-set-created-for-macys?ID=14078418
98, FRAAS,Women's Classic Plaid Cashmink® Scarf,Sale  EUR 28.92,EUR 57.84,4.5714,https://www.macys.com/shop/product/fraas-womens-classic-plaid-cashmink-scarf?ID=16359931
