,Product Brand,Product Name,Current Price,Old Price,Rating,Product URL,Product Description
2196,BCX,Juniors' Textured Check One-Button Cropped Jacket,Sale  EUR 24.25, EUR 48.49 ,Rated 3 stars with 2 reviews,https://www.macys.com/shop/product/bcx-juniors-textured-check-one-button-cropped-jacket?ID=17041566, Product Features LinedLong sleevesImportedNotched lapels; one-button front closure
2197,BCX,Juniors' Textured Check One-Button Cropped Jacket,Sale  EUR 24.25, EUR 48.49 ,Rated 3 stars with 2 reviews,https://www.macys.com/shop/product/bcx-juniors-textured-check-one-button-cropped-jacket?ID=17041566, Product Features LinedLong sleevesImportedNotched lapels; one-button front closure
2198,BCX,Juniors' Textured Check One-Button Cropped Jacket,Sale  EUR 24.25, EUR 48.49 ,Rated 3 stars with 2 reviews,https://www.macys.com/shop/product/bcx-juniors-textured-check-one-button-cropped-jacket?ID=17041566, Product Features LinedLong sleevesImportedNotched lapels; one-button front closure
2199,BCX,Juniors' Textured Check One-Button Cropped Jacket,Sale  EUR 24.25, EUR 48.49 ,Rated 3 stars with 2 reviews,https://www.macys.com/shop/product/bcx-juniors-textured-check-one-button-cropped-jacket?ID=17041566, Product Features LinedLong sleevesImportedNotched lapels; one-button front closure
2200,Marmot,Women's Hooded Pace Jacket ,Sale  EUR 277.09, EUR 395.85 ,Rated 4.5 stars with 4 reviews,https://www.macys.com/shop/product/marmot-womens-hooded-pace-jacket?ID=19567389, Product Features Snow skirt; pass pocket Lined Zippered pockets at sides and chest Interior cuffs Removable helmet compatible hood; zipper closure Imported
2201,Marmot,Women's Hooded Pace Jacket ,Sale  EUR 277.09, EUR 395.85 ,Rated 4.5 stars with 4 reviews,https://www.macys.com/shop/product/marmot-womens-hooded-pace-jacket?ID=19567389, Product Features Snow skirt; pass pocket Lined Zippered pockets at sides and chest Interior cuffs Removable helmet compatible hood; zipper closure Imported
2202,Marmot,Women's Hooded Pace Jacket ,Sale  EUR 277.09, EUR 395.85 ,Rated 4.5 stars with 4 reviews,https://www.macys.com/shop/product/marmot-womens-hooded-pace-jacket?ID=19567389, Product Features Snow skirt; pass pocket Lined Zippered pockets at sides and chest Interior cuffs Removable helmet compatible hood; zipper closure Imported
2203,Marmot,Women's Hooded Pace Jacket ,Sale  EUR 277.09, EUR 395.85 ,Rated 4.5 stars with 4 reviews,https://www.macys.com/shop/product/marmot-womens-hooded-pace-jacket?ID=19567389, Product Features Snow skirt; pass pocket Lined Zippered pockets at sides and chest Interior cuffs Removable helmet compatible hood; zipper closure Imported
2204,Charter Club,"Women's Woven Linen Solid Anorak, Created for Macy's",Sale  EUR 59.13, EUR 118.26 ,None,https://www.macys.com/shop/product/charter-club-womens-woven-linen-solid-anorak-created-for-macys?ID=18715310," Product Features Hip flap patch pocketsDrawstring waistCreated for Macy'sLong, roll-tab sleevesHooded with drawstring; front zip closureImported"
2205,Charter Club,"Women's Woven Linen Solid Anorak, Created for Macy's",Sale  EUR 59.13, EUR 118.26 ,None,https://www.macys.com/shop/product/charter-club-womens-woven-linen-solid-anorak-created-for-macys?ID=18715310," Product Features Hip flap patch pocketsDrawstring waistCreated for Macy'sLong, roll-tab sleevesHooded with drawstring; front zip closureImported"
2206,Charter Club,"Women's Woven Linen Solid Anorak, Created for Macy's",Sale  EUR 59.13, EUR 118.26 ,None,https://www.macys.com/shop/product/charter-club-womens-woven-linen-solid-anorak-created-for-macys?ID=18715310," Product Features Hip flap patch pocketsDrawstring waistCreated for Macy'sLong, roll-tab sleevesHooded with drawstring; front zip closureImported"
2207,Charter Club,"Women's Woven Linen Solid Anorak, Created for Macy's",Sale  EUR 59.13, EUR 118.26 ,None,https://www.macys.com/shop/product/charter-club-womens-woven-linen-solid-anorak-created-for-macys?ID=18715310," Product Features Hip flap patch pocketsDrawstring waistCreated for Macy'sLong, roll-tab sleevesHooded with drawstring; front zip closureImported"
2208,Marmot,Women's Echo Featherless Jacket,Sale  EUR 121.23, EUR 173.18 ,Rated 4.6522 stars with 23 reviews,https://www.macys.com/shop/product/marmot-womens-echo-featherless-jacket?ID=19567426, Product Features Elastic bound cuffs Zippered pockets at sides UnlinedAdjustable drawcord hem Stand collar; zipper closure at frontImportedRequest warranty information
2209,Marmot,Women's Echo Featherless Jacket,Sale  EUR 121.23, EUR 173.18 ,Rated 4.6522 stars with 23 reviews,https://www.macys.com/shop/product/marmot-womens-echo-featherless-jacket?ID=19567426, Product Features Elastic bound cuffs Zippered pockets at sides UnlinedAdjustable drawcord hem Stand collar; zipper closure at frontImportedRequest warranty information
2210,Marmot,Women's Echo Featherless Jacket,Sale  EUR 121.23, EUR 173.18 ,Rated 4.6522 stars with 23 reviews,https://www.macys.com/shop/product/marmot-womens-echo-featherless-jacket?ID=19567426, Product Features Elastic bound cuffs Zippered pockets at sides UnlinedAdjustable drawcord hem Stand collar; zipper closure at frontImportedRequest warranty information
2211,Marmot,Women's Echo Featherless Jacket,Sale  EUR 121.23, EUR 173.18 ,Rated 4.6522 stars with 23 reviews,https://www.macys.com/shop/product/marmot-womens-echo-featherless-jacket?ID=19567426, Product Features Elastic bound cuffs Zippered pockets at sides UnlinedAdjustable drawcord hem Stand collar; zipper closure at frontImportedRequest warranty information
2212,Jones New York,Women's Quilted Snap-Front Rib-Trim Jacket,Sale  EUR 49.23, EUR 98.47 ,Rated 4.6667 stars with 9 reviews,https://www.macys.com/shop/product/jones-new-york-womens-quilted-snap-front-rib-trim-jacket?ID=19003769, Product Features Side rib-knit detail ImportedZipper slant pockets at sides Spread collar; snap front closures Long sleeves with contrast knit stripe 
2213,Jones New York,Women's Quilted Snap-Front Rib-Trim Jacket,Sale  EUR 49.23, EUR 98.47 ,Rated 4.6667 stars with 9 reviews,https://www.macys.com/shop/product/jones-new-york-womens-quilted-snap-front-rib-trim-jacket?ID=19003769, Product Features Side rib-knit detail ImportedZipper slant pockets at sides Spread collar; snap front closures Long sleeves with contrast knit stripe 
2214,Jones New York,Women's Quilted Snap-Front Rib-Trim Jacket,Sale  EUR 49.23, EUR 98.47 ,Rated 4.6667 stars with 9 reviews,https://www.macys.com/shop/product/jones-new-york-womens-quilted-snap-front-rib-trim-jacket?ID=19003769, Product Features Side rib-knit detail ImportedZipper slant pockets at sides Spread collar; snap front closures Long sleeves with contrast knit stripe 
2215,Jones New York,Women's Quilted Snap-Front Rib-Trim Jacket,Sale  EUR 49.23, EUR 98.47 ,Rated 4.6667 stars with 9 reviews,https://www.macys.com/shop/product/jones-new-york-womens-quilted-snap-front-rib-trim-jacket?ID=19003769, Product Features Side rib-knit detail ImportedZipper slant pockets at sides Spread collar; snap front closures Long sleeves with contrast knit stripe 
2216,I.N.C. International Concepts,"Plus Size Croc-Embossed Faux-Leather Moto Jacket, Created for Macy's",Sale  EUR 44.35, EUR 118.26 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-plus-size-croc-embossed-faux-leather-moto-jacket-created-for-macys?ID=18110965, Product Features Belt detail at hemLinedNotched collar; front zip closure ImportedSide pockets
2217,I.N.C. International Concepts,"Plus Size Croc-Embossed Faux-Leather Moto Jacket, Created for Macy's",Sale  EUR 44.35, EUR 118.26 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-plus-size-croc-embossed-faux-leather-moto-jacket-created-for-macys?ID=18110965, Product Features Belt detail at hemLinedNotched collar; front zip closure ImportedSide pockets
2218,I.N.C. International Concepts,"Plus Size Croc-Embossed Faux-Leather Moto Jacket, Created for Macy's",Sale  EUR 44.35, EUR 118.26 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-plus-size-croc-embossed-faux-leather-moto-jacket-created-for-macys?ID=18110965, Product Features Belt detail at hemLinedNotched collar; front zip closure ImportedSide pockets
