,Product Brand,Product Name,Current Price,Old Price,Rating,Product URL
1491,Style & Co,"Whipstitch Medium Crossbody, Created for Macy's ",Now  EUR 38.82, EUR 77.63 ,Rated 3.75 stars with 4 reviews,https://www.macys.com/shop/product/style-co-whipstitch-medium-crossbody-created-for-macys?ID=19889588
1492,I.N.C. International Concepts,"Rachell Mini Metallic Crossbody, Created for Macy's ",Sale  EUR 24.17, EUR 48.34 ,Rated 5 stars with 2 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-rachell-mini-metallic-crossbody-created-for-macys?ID=17969066
1493,I.N.C. International Concepts,"Rachell Mini Metallic Crossbody, Created for Macy's ",Sale  EUR 24.17, EUR 48.34 ,Rated 5 stars with 2 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-rachell-mini-metallic-crossbody-created-for-macys?ID=17969066
1494,Perry Ellis,"24"" Rolling Duffel",Sale  EUR 78.11, EUR 156.24 ,Rated 5 stars with 2 reviews,https://www.macys.com/shop/product/perry-ellis-24-rolling-duffel?ID=7038962
1495,Perry Ellis,"24"" Rolling Duffel",Sale  EUR 78.11, EUR 156.24 ,Rated 5 stars with 2 reviews,https://www.macys.com/shop/product/perry-ellis-24-rolling-duffel?ID=7038962
1496,Giani Bernini,"Colorblock Pebble Hobo, Created for Macy's",Sale  EUR 38.86, EUR 97.16 ,Rated 4.2571 stars with 35 reviews,https://www.macys.com/shop/product/giani-bernini-colorblock-pebble-hobo-created-for-macys?ID=14809989
1497,Giani Bernini,"Colorblock Pebble Hobo, Created for Macy's",Sale  EUR 38.86, EUR 97.16 ,Rated 4.2571 stars with 35 reviews,https://www.macys.com/shop/product/giani-bernini-colorblock-pebble-hobo-created-for-macys?ID=14809989
1498,I.N.C. International Concepts,"Rachell Mini Metallic Snake Crossbody, Created for Macy's ",Sale  EUR 24.17, EUR 48.34 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-rachell-mini-metallic-snake-crossbody-created-for-macys?ID=17969063
1499,I.N.C. International Concepts,"Rachell Mini Metallic Snake Crossbody, Created for Macy's ",Sale  EUR 24.17, EUR 48.34 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-rachell-mini-metallic-snake-crossbody-created-for-macys?ID=17969063
1500,kate spade new york,NEW! Women's Metallic Beanie Hat,EUR 56.64,None,None,https://www.macys.com/shop/product/kate-spade-new-york-womens-metallic-beanie-hat?ID=19767730
